Mannen	leeftijdsklassen	0_4	 5_9	10_14	15_19	20_24	25_29	30_34	35_39	40_44	45_49	50_54	55_59	60_64	65_69	70_74	75_79	80_84	85+																																																
Infectieziekten_maagdarmkanaal	prev	0.08496049230449100000	0.02662191405453280000	0.01425100080423380000	0.00862764225013598000	0.01109770601277530000	0.01159668191659330000	0.01083641744770790000	0.01121149764930660000	0.00783846044488744000	0.00950696368384567000	0.01034003309101710000	0.01018918762018040000	0.01262557731576120000	0.01575241564563950000	0.01924697312860910000	0.01831741987719880000	0.01925193617812770000	0.03188603680070610000																																																
Infectieziekten_maagdarmkanaal	dalywgt	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000	0.03000000000000000000																																																
Tuberculose	prev	0.00001315858991752950	0.00001022886585945540	0.00001022886585945540	0.00005437366897789480	0.00005437366897789480	0.00005149433035719510	0.00005149433035719510	0.00003438203781867160	0.00003438203781867160	0.00002737974533360050	0.00002737974533360050	0.00002992503395340390	0.00002992503395340390	0.00003139930737902090	0.00035744321370128100	0.00037589997001984500	0.00037589997001984500	0.00040418722116167600																																																
Tuberculose	dalywgt	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000	0.22948000000000000000																																																
Hersenvliesontsteking	prev	0.00040603757677242600	0.00008561610211094750	0.00005316156727880600	0.00008581871897202180	0.00001746308611766830	0.00002144241913018210	0.00002032269158789450	0.00003307840319915410	0.00002588814722365600	0.00001720646548071750	0.00001639947455084590	0.00003357557320714330	0.00005086373402200570	0.00004471585846288420	0.00005520720836892920	0.00004812718854241000	0.00002528163744109380	0.00002112449934936540																																																
Hersenvliesontsteking	dalywgt	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000	0.31905000000000000000																																																
HIV/AIDS	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00003619296750278770	0.00007100639908122100	0.00013370013381337000	0.00038457858934433000	0.00043467067304301200	0.00052759946426656400	0.00025373029858858000	0.00018916490468391600	0.00019578619777660800	0.00009477124183006540	0.00000971234809958079	0.00000971234809958079	0.00000971234809958079	0.00000971234809958079	0.00000971234809958079																																																
HIV/AIDS	dalywgt	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000	0.56962000000000000000																																																
SOA	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00024256513683175000	0.00139466361781598000	0.00121199885771178000	0.00091483638589001900	0.00080097828048049800	0.00046509790197948800	0.00018792348878916800	0.00018321240300644100	0.00010210729908001100	0.00008503611971104230	0.00000327046945953857	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000																																																
SOA	dalywgt	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000	0.07200000000000000000																																																
Slokdarmkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002400000000000000	0.00005200000000000000	0.00000000000000000000	0.00011700000000000000	0.00018300000000000000	0.00021200000000000000	0.00020200000000000000	0.00048800000000000000	0.00068100000000000000	0.00044400000000000000	0.00041000000000000000																																																
Slokdarmkanker	dalywgt	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000	0.70730677290836700000																																																
Maagkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002500000000000000	0.00002300000000000000	0.00002400000000000000	0.00010400000000000000	0.00021200000000000000	0.00040900000000000000	0.00076800000000000000	0.00144200000000000000	0.00283500000000000000	0.00306700000000000000	0.00590000000000000000	0.00488100000000000000	0.01065000000000000000																																																
