Overlevingstafel naar leeftijd op laatste verjaardag, 1995/1996-1999/2000;;
Onderwerpen;Levenden (tafelbevolking);Levenden (tafelbevolking)
Geslacht;Mannen;
Leeftijd;absoluut;Simulatie
0 jaar;100000;100000
1 jaar;99416;99531
2 jaar;99366;99490
3 jaar;99329;99463
4 jaar;99304;99444
5 jaar;99285;99429
6 jaar;99264;99416
7 jaar;99247;99406
8 jaar;99230;99395
9 jaar;99216;99385
10 jaar;99204;99376
11 jaar;99190;99367
12 jaar;99179;99357
13 jaar;99160;99343
14 jaar;99141;99325
15 jaar;99117;99309
16 jaar;99090;99289
17 jaar;99045;99266
18 jaar;98996;99243
19 jaar;98941;99219
20 jaar;98878;99193
21 jaar;98810;99166
22 jaar;98746;99137
23 jaar;98681;99107
24 jaar;98612;99081
25 jaar;98544;99052
26 jaar;98472;99020
27 jaar;98404;98987
28 jaar;98336;98950
29 jaar;98270;98916
30 jaar;98204;98876
31 jaar;98134;98835
32 jaar;98058;98792
33 jaar;97977;98750
34 jaar;97893;98697
35 jaar;97808;98636
36 jaar;97718;98575
37 jaar;97622;98502
38 jaar;97514;98427
39 jaar;97392;98335
40 jaar;97266;98241
41 jaar;97126;98128
42 jaar;96972;98005
43 jaar;96795;97868
44 jaar;96603;97726
45 jaar;96386;97568
46 jaar;96165;97392
47 jaar;95916;97202
48 jaar;95621;96990
49 jaar;95318;96767
50 jaar;94972;96521
51 jaar;94609;96259
52 jaar;94197;95971
53 jaar;93734;95638
54 jaar;93239;95308
55 jaar;92681;94954
56 jaar;92072;94567
57 jaar;91404;94159
58 jaar;90674;93702
59 jaar;89859;93192
60 jaar;88986;92664
61 jaar;87977;92074
62 jaar;86857;91437
63 jaar;85635;90742
64 jaar;84286;89985
65 jaar;82769;89156
66 jaar;81118;88255
67 jaar;79295;87281
68 jaar;77336;86214
69 jaar;75239;84996
70 jaar;72983;83705
71 jaar;70584;82304
72 jaar;67955;80753
73 jaar;65153;79114
74 jaar;62183;77333
75 jaar;59002;75367
76 jaar;55705;73219
77 jaar;52313;70913
78 jaar;48736;68372
79 jaar;45063;65601
80 jaar;41296;62618
81 jaar;37513;59368
82 jaar;33730;55842
83 jaar;29985;52104
84 jaar;26300;48146
85 jaar;22805;44042
86 jaar;19553;39832
87 jaar;16462;35562
88 jaar;13661;31187
89 jaar;11080;26922
90 jaar;8806;22824
91 jaar;6870;18968
92 jaar;5230;15391
93 jaar;3898;12177
94 jaar;2860;9433
95 jaar;2042;7108
96 jaar;1420;5183
97 jaar;949;3656
98 jaar;603;2505
99 jaar;381;1652
100 jaar;234;1071
101 jaar;127;664
102 jaar;62;397
103 jaar;26;221
104 jaar;13;124
105 jaar;7;60
Source:  © Centraal Bureau voor de Statistiek, Voorburg/Heerlen 2007-11-07;;
