"Sterftequotiënten naar leeftijd op laatste verjaardag en geslacht"
"";"Onderwerpen";"Mannen";"Vrouwen"
"Leeftijd";"Jaar";"kans";"kans"
"0 jaar";"1995/1996-1999/2000";"0,00584";"0,00469"
"1 jaar";"1995/1996-1999/2000";"0,0005";"0,00042"
"2 jaar";"1995/1996-1999/2000";"0,00038";"0,00027"
"3 jaar";"1995/1996-1999/2000";"0,00025";"0,00019"
"4 jaar";"1995/1996-1999/2000";"0,00018";"0,00016"
"5 jaar";"1995/1996-1999/2000";"0,00022";"0,00013"
"6 jaar";"1995/1996-1999/2000";"0,00017";"0,00011"
"7 jaar";"1995/1996-1999/2000";"0,00017";"0,0001"
"8 jaar";"1995/1996-1999/2000";"0,00014";"0,0001"
"9 jaar";"1995/1996-1999/2000";"0,00013";"0,0001"
"10 jaar";"1995/1996-1999/2000";"0,00015";"0,00009"
"11 jaar";"1995/1996-1999/2000";"0,00011";"0,00009"
"12 jaar";"1995/1996-1999/2000";"0,00019";"0,00014"
"13 jaar";"1995/1996-1999/2000";"0,00019";"0,00018"
"14 jaar";"1995/1996-1999/2000";"0,00024";"0,00016"
"15 jaar";"1995/1996-1999/2000";"0,00027";"0,00021"
"16 jaar";"1995/1996-1999/2000";"0,00046";"0,00023"
"17 jaar";"1995/1996-1999/2000";"0,00049";"0,00023"
"18 jaar";"1995/1996-1999/2000";"0,00056";"0,00024"
"19 jaar";"1995/1996-1999/2000";"0,00064";"0,00025"
"20 jaar";"1995/1996-1999/2000";"0,00068";"0,00028"
"21 jaar";"1995/1996-1999/2000";"0,00065";"0,00028"
"22 jaar";"1995/1996-1999/2000";"0,00066";"0,00031"
"23 jaar";"1995/1996-1999/2000";"0,00069";"0,00027"
"24 jaar";"1995/1996-1999/2000";"0,00069";"0,00029"
"25 jaar";"1995/1996-1999/2000";"0,00073";"0,00033"
"26 jaar";"1995/1996-1999/2000";"0,0007";"0,00033"
"27 jaar";"1995/1996-1999/2000";"0,00068";"0,00038"
"28 jaar";"1995/1996-1999/2000";"0,00068";"0,00034"
"29 jaar";"1995/1996-1999/2000";"0,00067";"0,00041"
"30 jaar";"1995/1996-1999/2000";"0,00072";"0,00041"
"31 jaar";"1995/1996-1999/2000";"0,00077";"0,00044"
"32 jaar";"1995/1996-1999/2000";"0,00083";"0,00042"
"33 jaar";"1995/1996-1999/2000";"0,00085";"0,00054"
"34 jaar";"1995/1996-1999/2000";"0,00087";"0,00062"
"35 jaar";"1995/1996-1999/2000";"0,00091";"0,00062"
"36 jaar";"1995/1996-1999/2000";"0,00099";"0,00075"
"37 jaar";"1995/1996-1999/2000";"0,0011";"0,00075"
"38 jaar";"1995/1996-1999/2000";"0,00125";"0,00094"
"39 jaar";"1995/1996-1999/2000";"0,0013";"0,00095"
"40 jaar";"1995/1996-1999/2000";"0,00144";"0,00116"
"41 jaar";"1995/1996-1999/2000";"0,00158";"0,00125"
"42 jaar";"1995/1996-1999/2000";"0,00182";"0,00139"
"43 jaar";"1995/1996-1999/2000";"0,00198";"0,00145"
"44 jaar";"1995/1996-1999/2000";"0,00225";"0,00162"
"45 jaar";"1995/1996-1999/2000";"0,00229";"0,0018"
"46 jaar";"1995/1996-1999/2000";"0,00259";"0,00195"
"47 jaar";"1995/1996-1999/2000";"0,00307";"0,00218"
"48 jaar";"1995/1996-1999/2000";"0,00318";"0,0023"
"49 jaar";"1995/1996-1999/2000";"0,00362";"0,00254"
"50 jaar";"1995/1996-1999/2000";"0,00383";"0,00271"
"51 jaar";"1995/1996-1999/2000";"0,00436";"0,003"
"52 jaar";"1995/1996-1999/2000";"0,00491";"0,00346"
"53 jaar";"1995/1996-1999/2000";"0,00529";"0,00345"
"54 jaar";"1995/1996-1999/2000";"0,00598";"0,00372"
"55 jaar";"1995/1996-1999/2000";"0,00658";"0,00407"
"56 jaar";"1995/1996-1999/2000";"0,00726";"0,00432"
"57 jaar";"1995/1996-1999/2000";"0,00799";"0,00485"
"58 jaar";"1995/1996-1999/2000";"0,00899";"0,00544"
"59 jaar";"1995/1996-1999/2000";"0,00971";"0,00567"
"60 jaar";"1995/1996-1999/2000";"0,01133";"0,00636"
"61 jaar";"1995/1996-1999/2000";"0,01273";"0,00692"
"62 jaar";"1995/1996-1999/2000";"0,01407";"0,0076"
"63 jaar";"1995/1996-1999/2000";"0,01575";"0,00835"
"64 jaar";"1995/1996-1999/2000";"0,018";"0,00921"
"65 jaar";"1995/1996-1999/2000";"0,01994";"0,0101"
"66 jaar";"1995/1996-1999/2000";"0,02248";"0,01104"
"67 jaar";"1995/1996-1999/2000";"0,0247";"0,01222"
"68 jaar";"1995/1996-1999/2000";"0,02711";"0,01413"
"69 jaar";"1995/1996-1999/2000";"0,02999";"0,01519"
"70 jaar";"1995/1996-1999/2000";"0,03287";"0,01674"
"71 jaar";"1995/1996-1999/2000";"0,03724";"0,01884"
"72 jaar";"1995/1996-1999/2000";"0,04124";"0,0203"
"73 jaar";"1995/1996-1999/2000";"0,04559";"0,02251"
"74 jaar";"1995/1996-1999/2000";"0,05116";"0,02542"
"75 jaar";"1995/1996-1999/2000";"0,05587";"0,02849"
"76 jaar";"1995/1996-1999/2000";"0,06089";"0,0315"
"77 jaar";"1995/1996-1999/2000";"0,06838";"0,03584"
"78 jaar";"1995/1996-1999/2000";"0,07535";"0,04053"
"79 jaar";"1995/1996-1999/2000";"0,08361";"0,04546"
"80 jaar";"1995/1996-1999/2000";"0,09161";"0,05191"
"81 jaar";"1995/1996-1999/2000";"0,10083";"0,05938"
"82 jaar";"1995/1996-1999/2000";"0,11103";"0,06694"
"83 jaar";"1995/1996-1999/2000";"0,1229";"0,07596"
"84 jaar";"1995/1996-1999/2000";"0,13288";"0,08525"
"85 jaar";"1995/1996-1999/2000";"0,14262";"0,09559"
"86 jaar";"1995/1996-1999/2000";"0,15806";"0,10719"
"87 jaar";"1995/1996-1999/2000";"0,17019";"0,12302"
"88 jaar";"1995/1996-1999/2000";"0,18891";"0,13675"
"89 jaar";"1995/1996-1999/2000";"0,20525";"0,15222"
"90 jaar";"1995/1996-1999/2000";"0,2198";"0,16894"
"91 jaar";"1995/1996-1999/2000";"0,23874";"0,18861"
"92 jaar";"1995/1996-1999/2000";"0,25465";"0,20884"
"93 jaar";"1995/1996-1999/2000";"0,26646";"0,22531"
"94 jaar";"1995/1996-1999/2000";"0,28592";"0,2465"
"95 jaar";"1995/1996-1999/2000";"0,30481";"0,27078"
"96 jaar";"1995/1996-1999/2000";"0,33131";"0,29468"
"97 jaar";"1995/1996-1999/2000";"0,36491";"0,3148"
"98 jaar";"1995/1996-1999/2000";"0,36816";"0,34046"
"99 jaar";"1995/1996-1999/2000";"0,38595";"0,35167"
"100 jaar";"1995/1996-1999/2000";"0,45725";"0,37993"
"101 jaar";"1995/1996-1999/2000";"0,51049";"0,40162"
"102 jaar";"1995/1996-1999/2000";"0,575";"0,44444"
"103 jaar";"1995/1996-1999/2000";"0,51351";"0,43678"
"104 jaar";"1995/1996-1999/2000";"0,42222";"0,51837"
"105 jaar";"1995/1996-1999/2000";"0,46429";"0,47934"
"Source:  © Centraal Bureau voor de Statistiek, Voorburg/Heerlen 2007-11-07"
