age;sex;value
0;0;1
1;0;1
2;0;1
3;0;1
4;0;1
5;0;1
6;0;1
7;0;1
8;0;1
9;0;1
10;0;1
11;0;1
12;0;1
13;0;1
14;0;1
15;0;1
16;0;1
17;0;1
18;0;1
19;0;1
20;0;1
21;0;1.1
22;0;1.1
23;0;1.1
24;0;1.1
25;0;1.1
26;0;1.1
27;0;1.1
28;0;1.1
29;0;1.1
30;0;1.1
31;0;1.1
32;0;1.1
33;0;1.1
34;0;1.1
35;0;1.099
36;0;1.098
37;0;1.097
38;0;1.096
39;0;1.095
40;0;1.094
41;0;1.093
42;0;1.092
43;0;1.091
44;0;1.09
45;0;1.089
46;0;1.088
47;0;1.087
48;0;1.086
49;0;1.085
50;0;1.084
51;0;1.083
52;0;1.082
53;0;1.081
54;0;1.08
55;0;1.079
56;0;1.078
57;0;1.077
58;0;1.076
59;0;1.075
60;0;1.074
61;0;1.073
62;0;1.072
63;0;1.071
64;0;1.07
65;0;1.069
66;0;1.068
67;0;1.067
68;0;1.066
69;0;1.065
70;0;1.064
71;0;1.063
72;0;1.062
73;0;1.061
74;0;1.06
75;0;1.059
76;0;1.058
77;0;1.057
78;0;1.056
79;0;1.055
80;0;1.054
81;0;1.053
82;0;1.052
83;0;1.051
84;0;1.05
85;0;1.049
86;0;1.048
87;0;1.047
88;0;1.046
89;0;1.045
90;0;1.044
91;0;1.043
92;0;1.042
93;0;1.041
94;0;1.04
95;0;1.039
96;0;1.038
97;0;1.037
98;0;1.036
0;1;1
1;1;1
2;1;1
3;1;1
4;1;1
5;1;1
6;1;1
7;1;1
8;1;1
9;1;1
10;1;1
11;1;1
12;1;1
13;1;1
14;1;1
15;1;1
16;1;1
17;1;1
18;1;1
19;1;1
20;1;1
21;1;1.1
22;1;1.1
23;1;1.1
24;1;1.1
25;1;1.1
26;1;1.1
27;1;1.1
28;1;1.1
29;1;1.1
30;1;1.1
31;1;1.1
32;1;1.1
33;1;1.1
34;1;1.1
35;1;1.099
36;1;1.098
37;1;1.097
38;1;1.096
39;1;1.095
40;1;1.094
41;1;1.093
42;1;1.092
43;1;1.091
44;1;1.09
45;1;1.089
46;1;1.088
47;1;1.087
48;1;1.086
49;1;1.085
50;1;1.084
51;1;1.083
52;1;1.082
53;1;1.081
54;1;1.08
55;1;1.079
56;1;1.078
57;1;1.077
58;1;1.076
59;1;1.075
60;1;1.074
61;1;1.073
62;1;1.072
63;1;1.071
64;1;1.07
65;1;1.069
66;1;1.068
67;1;1.067
68;1;1.066
69;1;1.065
70;1;1.064
71;1;1.063
72;1;1.062
73;1;1.061
74;1;1.06
75;1;1.059
76;1;1.058
77;1;1.057
78;1;1.056
79;1;1.055
80;1;1.054
81;1;1.053
82;1;1.052
83;1;1.051
84;1;1.05
85;1;1.049
86;1;1.048
87;1;1.047
88;1;1.046
89;1;1.045
90;1;1.044
91;1;1.043
92;1;1.042
93;1;1.041
94;1;1.04
95;1;1.039
96;1;1.038
97;1;1.037
98;1;1.036
