age;sex;value
0;0;0.01
1;0;0.01
2;0;0.01
3;0;0.01
4;0;0.01
5;0;0.01
6;0;0.01
7;0;0.01
8;0;0.01
9;0;0.01
10;0;0.01
11;0;0.01
12;0;0.01
13;0;0.01
14;0;0.01
15;0;0.01
16;0;0.01
17;0;0.01
18;0;0.01
19;0;0.01
20;0;0.01
21;0;0.01
22;0;0.01
23;0;0.01
24;0;0.01
25;0;0.01
26;0;0.01
27;0;0.01
28;0;0.01
29;0;0.01
30;0;0.01
31;0;0.01
32;0;0.01
33;0;0.01
34;0;0.01
35;0;0.01
36;0;0.01
37;0;0.01
38;0;0.01
39;0;0.01
40;0;0.01
41;0;0.01
42;0;0.01
43;0;0.01
44;0;0.01
45;0;0.01
46;0;0.01
47;0;0.01
48;0;0.01
49;0;0.01
50;0;0.01
51;0;0.01
52;0;0.01
53;0;0.01
54;0;0.01
55;0;0.01
56;0;0.01
57;0;0.01
58;0;0.01
59;0;0.01
60;0;0.01
61;0;0.01
62;0;0.01
63;0;0.01
64;0;0.01
65;0;0.01
66;0;0.01
67;0;0.01
68;0;0.01
69;0;0.01
70;0;0.01
71;0;0.01
72;0;0.01
73;0;0.01
74;0;0.01
75;0;0.01
76;0;0.01
77;0;0.01
78;0;0.01
79;0;0.01
80;0;0.01
81;0;0.01
82;0;0.01
83;0;0.01
84;0;0.01
85;0;0.01
86;0;0.01
87;0;0.01
88;0;0.01
89;0;0.01
90;0;0.01
91;0;0.01
92;0;0.01
93;0;0.01
94;0;0.01
95;0;0.01
96;0;0.01
97;0;0.01
98;0;0.01
0;1;0.01
1;1;0.01
2;1;0.01
3;1;0.01
4;1;0.01
5;1;0.01
6;1;0.01
7;1;0.01
8;1;0.01
9;1;0.01
10;1;0.01
11;1;0.01
12;1;0.01
13;1;0.01
14;1;0.01
15;1;0.01
16;1;0.01
17;1;0.01
18;1;0.01
19;1;0.01
20;1;0.01
21;1;0.01
22;1;0.01
23;1;0.01
24;1;0.01
25;1;0.01
26;1;0.01
27;1;0.01
28;1;0.01
29;1;0.01
30;1;0.01
31;1;0.01
32;1;0.01
33;1;0.01
34;1;0.01
35;1;0.01
36;1;0.01
37;1;0.01
38;1;0.01
39;1;0.01
40;1;0.01
41;1;0.01
42;1;0.01
43;1;0.01
44;1;0.01
45;1;0.01
46;1;0.01
47;1;0.01
48;1;0.01
49;1;0.01
50;1;0.01
51;1;0.01
52;1;0.01
53;1;0.01
54;1;0.01
55;1;0.01
56;1;0.01
57;1;0.01
58;1;0.01
59;1;0.01
60;1;0.01
61;1;0.01
62;1;0.01
63;1;0.01
64;1;0.01
65;1;0.01
66;1;0.01
67;1;0.01
68;1;0.01
69;1;0.01
70;1;0.01
71;1;0.01
72;1;0.01
73;1;0.01
74;1;0.01
75;1;0.01
76;1;0.01
77;1;0.01
78;1;0.01
79;1;0.01
80;1;0.01
81;1;0.01
82;1;0.01
83;1;0.01
84;1;0.01
85;1;0.01
86;1;0.01
87;1;0.01
88;1;0.01
89;1;0.01
90;1;0.01
91;1;0.01
92;1;0.01
93;1;0.01
94;1;0.01
95;1;0.01
96;1;0.01
97;1;0.01
98;1;0.01
