age;sex;value
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0.0001
20;0;0.0001
21;0;0.0001
22;0;0.0001
23;0;0.0001
24;0;0.0001
25;0;0.0001
26;0;0.0001
27;0;0.0001
28;0;0.0001
29;0;0.0001
30;0;0.0001
31;0;0.0001
32;0;0.0001
33;0;0.0001
34;0;0.0001
35;0;0.000101
36;0;0.00010201
37;0;0.00010303
38;0;0.00010406
39;0;0.000105101
40;0;0.000106152
41;0;0.000107214
42;0;0.000108286
43;0;0.000109369
44;0;0.000110462
45;0;0.000111567
46;0;0.000112683
47;0;0.000113809
48;0;0.000114947
49;0;0.000116097
50;0;0.000117258
51;0;0.00011843
52;0;0.000119615
53;0;0.000120811
54;0;0.000122019
55;0;0.000123239
56;0;0.000124472
57;0;0.000125716
58;0;0.000126973
59;0;0.000128243
60;0;0.000129526
61;0;0.000130821
62;0;0.000132129
63;0;0.00013345
64;0;0.000134785
65;0;0.000136133
66;0;0.000137494
67;0;0.000138869
68;0;0.000140258
69;0;0.00014166
70;0;0.000143077
71;0;0.000144508
72;0;0.000145953
73;0;0.000147412
74;0;0.000148886
75;0;0.000150375
76;0;0.000151879
77;0;0.000153398
78;0;0.000154932
79;0;0.000156481
80;0;0.000158046
81;0;0.000159626
82;0;0.000161223
83;0;0.000162835
84;0;0.000164463
85;0;0.000166108
86;0;0.000167769
87;0;0.000169447
88;0;0.000171141
89;0;0.000172852
90;0;0.000174581
91;0;0.000176327
92;0;0.00017809
93;0;0.000179871
94;0;0.00018167
95;0;0.000183486
96;0;0.000185321
97;0;0.000187174
98;0;0.000189046
0;1;0
1;1;0
2;1;0
3;1;0
4;1;0
5;1;0
6;1;0
7;1;0
8;1;0
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;0
19;1;0.0001
20;1;0.0001
21;1;0.0001
22;1;0.0001
23;1;0.0001
24;1;0.0001
25;1;0.0001
26;1;0.0001
27;1;0.0001
28;1;0.0001
29;1;0.0001
30;1;0.0001
31;1;0.0001
32;1;0.0001
33;1;0.0001
34;1;0.0001
35;1;0.000101
36;1;0.00010201
37;1;0.00010303
38;1;0.00010406
39;1;0.000105101
40;1;0.000106152
41;1;0.000107214
42;1;0.000108286
43;1;0.000109369
44;1;0.000110462
45;1;0.000111567
46;1;0.000112683
47;1;0.000113809
48;1;0.000114947
49;1;0.000116097
50;1;0.000117258
51;1;0.00011843
52;1;0.000119615
53;1;0.000120811
54;1;0.000122019
55;1;0.000123239
56;1;0.000124472
57;1;0.000125716
58;1;0.000126973
59;1;0.000128243
60;1;0.000129526
61;1;0.000130821
62;1;0.000132129
63;1;0.00013345
64;1;0.000134785
65;1;0.000136133
66;1;0.000137494
67;1;0.000138869
68;1;0.000140258
69;1;0.00014166
70;1;0.000143077
71;1;0.000144508
72;1;0.000145953
73;1;0.000147412
74;1;0.000148886
75;1;0.000150375
76;1;0.000151879
77;1;0.000153398
78;1;0.000154932
79;1;0.000156481
80;1;0.000158046
81;1;0.000159626
82;1;0.000161223
83;1;0.000162835
84;1;0.000164463
85;1;0.000166108
86;1;0.000167769
87;1;0.000169447
88;1;0.000171141
89;1;0.000172852
90;1;0.000174581
91;1;0.000176327
92;1;0.00017809
93;1;0.000179871
94;1;0.00018167
95;1;0.000183486
96;1;0.000185321
97;1;0.000187174
98;1;0.000189046
